Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Gujarat, 31-12-2020, M, 1.30, 11784046.00, 42.03
Gujarat, 31-01-2021, M, 3.11, 13893075.00, 50.40
Gujarat, 28-02-2021, M, 3.03, 13470268.00, 48.76
Gujarat, 31-03-2021, M, 2.15, 14357667.00, 51.43
Gujarat, 30-04-2021, M, 1.61, 13739426.00, 48.87
Gujarat, 31-05-2021, M, 2.34, 13711252.00, 49.06
Gujarat, 30-06-2021, M, 1.54, 14206021.00, 50.35
Gujarat, 31-07-2021, M, 0.97, 14920938.00, 52.50
Haryana, 31-01-2016, M, 12.75, 5166429.00, 46.74
Haryana, 29-02-2016, M, 9.55, 5107763.00, 44.50
Haryana, 31-03-2016, M, 7.36, 5354862.00, 45.47
Haryana, 30-04-2016, M, 12.03, 5028469.00, 44.88
Haryana, 31-05-2016, M, 7.10, 5356324.00, 45.19
Haryana, 30-06-2016, M, 10.31, 4823368.00, 42.08
Haryana, 31-07-2016, M, 8.63, 4976264.00, 42.53
Haryana, 31-08-2016, M, 17.06, 4969421.00, 46.70
Haryana, 30-09-2016, M, 3.41, 5267062.00, 42.43
Haryana, 31-10-2016, M, 8.53, 4966838.00, 42.17
Haryana, 30-11-2016, M, 4.91, 5110195.00, 41.67
Haryana, 31-12-2016, M, 18.79, 4538689.00, 43.25
Haryana, 31-01-2017, M, 5.32, 5085276.00, 41.49
Haryana, 28-02-2017, M, 8.32, 4920716.00, 41.39
Haryana, 31-03-2017, M, 4.49, 4619780.00, 37.23
Haryana, 30-04-2017, M, 1.92, 4293016.00, 33.64
Haryana, 31-05-2017, M, 0.92, 4802740.00, 37.18
Haryana, 30-06-2017, M, 4.01, 4949445.00, 39.48
Haryana, 31-07-2017, M, 6.83, 4750170.00, 38.96
Haryana, 31-08-2017, M, 0.41, 4506125.00, 34.52
Haryana, 30-09-2017, M, 10.22, 5170890.00, 43.86
Haryana, 31-10-2017, M, 14.89, 4996948.00, 44.63
Haryana, 30-11-2017, M, 15.67, 4808009.00, 43.26
Haryana, 31-12-2017, M, 22.05, 4676789.00, 45.44
Haryana, 31-01-2018, M, 10.59, 5001436.00, 42.29
Haryana, 28-02-2018, M, 17.43, 4840912.00, 44.25
Haryana, 31-03-2018, M, 12.50, 4786117.00, 41.21
Haryana, 30-04-2018, M, 23.72, 4614001.00, 45.49
Haryana, 31-05-2018, M, 11.25, 5007325.00, 42.35
Haryana, 30-06-2018, M, 15.44, 4860036.00, 43.06
Haryana, 31-07-2018, M, 12.57, 4867627.00, 41.64
Haryana, 31-08-2018, M, 25.09, 4691544.00, 46.76
Haryana, 30-09-2018, M, 14.01, 5060749.00, 43.86
Haryana, 31-10-2018, M, 18.67, 4842527.00, 44.29
Haryana, 30-11-2018, M, 17.34, 4765000.00, 42.80
Haryana, 31-12-2018, M, 25.59, 4636216.00, 46.18
Haryana, 31-01-2019, M, 14.00, 5057731.00, 43.51
Haryana, 28-02-2019, M, 21.05, 4759841.00, 44.53
Haryana, 31-03-2019, M, 16.01, 4719152.00, 41.43
Haryana, 30-04-2019, M, 27.78, 4521365.00, 46.07
Haryana, 31-05-2019, M, 14.54, 5249186.00, 45.12
Haryana, 30-06-2019, M, 23.08, 4745178.00, 45.23
Haryana, 31-07-2019, M, 16.22, 4826560.00, 42.17
Haryana, 31-08-2019, M, 30.94, 4558306.00, 48.23
Haryana, 30-09-2019, M, 16.29, 5137903.00, 44.76
Haryana, 31-10-2019, M, 24.17, 4798831.00, 46.07
Haryana, 30-11-2019, M, 16.59, 4875762.00, 42.48
Haryana, 31-12-2019, M, 29.56, 4603482.00, 47.40
Haryana, 31-01-2020, M, 16.21, 5062293.00, 43.74
Haryana, 29-02-2020, M, 27.19, 4570108.00, 45.37
Haryana, 31-03-2020, M, 23.92, 4366148.00, 41.40
Haryana, 30-04-2020, M, 41.61, 4041050.00, 49.85
Haryana, 31-05-2020, M, 23.70, 4424785.00, 41.69
Haryana, 30-06-2020, M, 25.80, 4594282.00, 44.43
Haryana, 31-07-2020, M, 17.62, 4440170.00, 38.61
Haryana, 31-08-2020, M, 32.01, 4594011.00, 48.31
Haryana, 30-09-2020, M, 13.32, 4728711.00, 38.93
Haryana, 31-10-2020, M, 30.51, 4222454.00, 43.29
Haryana, 30-11-2020, M, 17.17, 4691436.00, 40.28
Haryana, 31-12-2020, M, 29.01, 4274940.00, 42.74
Haryana, 31-01-2021, M, 11.07, 4949138.00, 39.43
Haryana, 28-02-2021, M, 29.80, 4273138.00, 43.06
Haryana, 31-03-2021, M, 21.52, 4834960.00, 43.49
Haryana, 30-04-2021, M, 31.00, 4435071.00, 45.30
Haryana, 31-05-2021, M, 20.42, 4330493.00, 38.28
Haryana, 30-06-2021, M, 29.70, 4305061.00, 43.00
Haryana, 31-07-2021, M, 21.00, 4559615.00, 40.45
Himachal Pradesh, 31-01-2016, M, 3.27, 2000786.00, 41.24
Himachal Pradesh, 29-02-2016, M, 3.57, 1970430.00, 40.68
Himachal Pradesh, 31-03-2016, M, 5.85, 2100552.00, 44.34
Himachal Pradesh, 30-04-2016, M, 3.18, 1765170.00, 36.18
Himachal Pradesh, 31-05-2016, M, 4.38, 2032688.00, 42.11
Himachal Pradesh, 30-06-2016, M, 1.12, 2027298.00, 40.55
Himachal Pradesh, 31-07-2016, M, 9.24, 2018840.00, 43.91
Himachal Pradesh, 31-08-2016, M, 3.85, 1865352.00, 38.24
Himachal Pradesh, 30-09-2016, M, 1.90, 2044719.00, 41.02
Himachal Pradesh, 31-10-2016, M, 0.58, 2012823.00, 39.77
Himachal Pradesh, 30-11-2016, M, 4.24, 2092519.00, 42.86
Himachal Pradesh, 31-12-2016, M, 1.37, 2054390.00, 40.78
Himachal Pradesh, 31-01-2017, M, 1.69, 2104469.00, 41.84
Himachal Pradesh, 28-02-2017, M, 2.33, 2084263.00, 41.65
Himachal Pradesh, 31-03-2017, M, 2.67, 2223547.00, 44.51
Himachal Pradesh, 30-04-2017, M, 0.00, 2064632.00, 40.16
Himachal Pradesh, 31-05-2017, M, 1.95, 2095865.00, 41.51
Himachal Pradesh, 30-06-2017, M, 1.23, 2073500.00, 40.70
Himachal Pradesh, 31-07-2017, M, 2.58, 2015874.00, 40.05
Himachal Pradesh, 31-08-2017, M, 0.69, 2093342.00, 40.73
Himachal Pradesh, 30-09-2017, M, 4.90, 2112658.00, 42.86
Himachal Pradesh, 31-10-2017, M, 4.64, 2022287.00, 40.84
Himachal Pradesh, 30-11-2017, M, 14.40, 2129469.00, 47.83
Himachal Pradesh, 31-12-2017, M, 11.11, 2111612.00, 45.60
Himachal Pradesh, 31-01-2018, M, 12.77, 2033763.00, 44.68
Himachal Pradesh, 28-02-2018, M, 8.81, 1938777.00, 40.68
Himachal Pradesh, 31-03-2018, M, 15.10, 2001643.00, 45.04
Himachal Pradesh, 30-04-2018, M, 16.96, 2040394.00, 46.86
Himachal Pradesh, 31-05-2018, M, 13.81, 2030015.00, 44.84
Himachal Pradesh, 30-06-2018, M, 11.11, 1941319.00, 41.51
Himachal Pradesh, 31-07-2018, M, 17.70, 1956462.00, 45.11
Himachal Pradesh, 31-08-2018, M, 17.09, 2006877.00, 45.85
Himachal Pradesh, 30-09-2018, M, 14.53, 2085719.00, 46.15
Himachal Pradesh, 31-10-2018, M, 12.44, 1982012.00, 42.74
Himachal Pradesh, 30-11-2018, M, 19.32, 2094338.00, 48.94
Himachal Pradesh, 31-12-2018, M, 18.67, 2013285.00, 46.58
Himachal Pradesh, 31-01-2019, M, 14.29, 2052608.00, 44.99
Himachal Pradesh, 28-02-2019, M, 13.33, 1988122.00, 43.03
Himachal Pradesh, 31-03-2019, M, 18.55, 1957550.00, 45.01
Himachal Pradesh, 30-04-2019, M, 19.18, 1988817.00, 46.01
Himachal Pradesh, 31-05-2019, M, 13.68, 2045761.00, 44.23
Himachal Pradesh, 30-06-2019, M, 11.43, 1957081.00, 41.18
Himachal Pradesh, 31-07-2019, M, 20.59, 1916824.00, 44.91
Himachal Pradesh, 31-08-2019, M, 18.56, 1969248.00, 44.91
Himachal Pradesh, 30-09-2019, M, 15.98, 2039804.00, 45.02
Himachal Pradesh, 31-10-2019, M, 15.81, 1946957.00, 42.81
Himachal Pradesh, 30-11-2019, M, 22.86, 2024409.00, 48.50
Himachal Pradesh, 31-12-2019, M, 19.46, 1922821.00, 44.05
Himachal Pradesh, 31-01-2020, M, 16.67, 2041035.00, 45.11
Himachal Pradesh, 29-02-2020, M, 15.42, 1952464.00, 42.45
Himachal Pradesh, 31-03-2020, M, 17.71, 1800426.00, 40.17
Himachal Pradesh, 30-04-2020, M, 2.13, 984171.00, 18.43
Himachal Pradesh, 31-05-2020, M, 25.64, 1732050.00, 42.62
Himachal Pradesh, 30-06-2020, M, 12.85, 1981244.00, 41.53
Himachal Pradesh, 31-07-2020, M, 24.06, 2013770.00, 48.36
Himachal Pradesh, 31-08-2020, M, 14.05, 1801879.00, 38.17
Himachal Pradesh, 30-09-2020, M, 11.36, 2008871.00, 41.20
Himachal Pradesh, 31-10-2020, M, 13.42, 1913360.00, 40.10
Himachal Pradesh, 30-11-2020, M, 15.57, 1760074.00, 37.77
Himachal Pradesh, 31-12-2020, M, 7.02, 1953491.00, 38.00
Himachal Pradesh, 31-01-2021, M, 11.43, 2019761.00, 41.18
Himachal Pradesh, 28-02-2021, M, 15.50, 1867240.00, 39.84
Himachal Pradesh, 31-03-2021, M, 13.84, 1706608.00, 35.65
Himachal Pradesh, 30-04-2021, M, 10.53, 1789783.00, 35.95
Himachal Pradesh, 31-05-2021, M, 6.85, 2026996.00, 39.04
Himachal Pradesh, 30-06-2021, M, 16.51, 1740008.00, 37.33
Himachal Pradesh, 31-07-2021, M, 14.62, 1806499.00, 37.83
Jammu & Kashmir, 31-01-2016, M, 11.52, 2456244.00, 42.68
Jammu & Kashmir, 29-02-2016, M, 18.62, 2299744.00, 43.36
Jammu & Kashmir, 31-03-2016, M, 11.52, 2413465.00, 41.77
Jammu & Kashmir, 30-04-2016, M, 5.29, 2619857.00, 42.27
Jammu & Kashmir, 31-05-2016, M, 22.68, 2366341.00, 46.67
Jammu & Kashmir, 30-06-2016, M, 21.38, 2427365.00, 47.00
Jammu & Kashmir, 31-07-2016, M, 17.04, 2416967.00, 44.25
Jammu & Kashmir, 31-08-2016, M, 25.00, 2664982.00, 53.86
Jammu & Kashmir, 30-09-2016, M, 26.74, 2256905.00, 46.60
Jammu & Kashmir, 31-10-2016, M, 25.76, 2304905.00, 46.87
Jammu & Kashmir, 30-11-2016, M, 34.33, 2157865.00, 49.51
Jammu & Kashmir, 31-12-2016, M, 22.89, 2722685.00, 53.09
Jammu & Kashmir, 31-01-2017, M, 25.00, 2240329.00, 44.82
Jammu & Kashmir, 28-02-2017, M, 7.05, 2450978.00, 39.49
Jammu & Kashmir, 31-03-2017, M, 22.70, 2426854.00, 46.92
Jammu & Kashmir, 30-04-2017, M, 19.54, 2676450.00, 49.62
Jammu & Kashmir, 31-05-2017, M, 9.85, 2304774.00, 38.06
Jammu & Kashmir, 30-06-2017, M, 8.79, 2367608.00, 38.57
Jammu & Kashmir, 31-07-2017, M, 7.78, 2361216.00, 37.96
Jammu & Kashmir, 31-08-2017, M, 6.31, 2734692.00, 43.19
Jammu & Kashmir, 30-09-2017, M, 13.44, 2391408.00, 40.80
Jammu & Kashmir, 31-10-2017, M, 10.99, 2424483.00, 40.14
Jammu & Kashmir, 30-11-2017, M, 12.86, 2498696.00, 42.17
Jammu & Kashmir, 31-12-2017, M, 12.76, 2693199.00, 45.31
Jammu & Kashmir, 31-01-2018, M, 6.87, 2435760.00, 38.31
Jammu & Kashmir, 28-02-2018, M, 15.89, 2258418.00, 39.25
Jammu & Kashmir, 31-03-2018, M, 14.35, 2529950.00, 43.09
Jammu & Kashmir, 30-04-2018, M, 10.14, 2786778.00, 45.15
Jammu & Kashmir, 31-05-2018, M, 7.98, 2511807.00, 39.66
Jammu & Kashmir, 30-06-2018, M, 11.44, 2296539.00, 37.61
Jammu & Kashmir, 31-07-2018, M, 8.46, 2515607.00, 39.77
Jammu & Kashmir, 31-08-2018, M, 6.99, 2759042.00, 42.84
Jammu & Kashmir, 30-09-2018, M, 13.01, 2378621.00, 39.41
Jammu & Kashmir, 31-10-2018, M, 12.92, 2170451.00, 35.85
Jammu & Kashmir, 30-11-2018, M, 10.58, 2409452.00, 38.68
Jammu & Kashmir, 31-12-2018, M, 8.24, 2703612.00, 42.21
Jammu & Kashmir, 31-01-2019, M, 14.60, 2453894.00, 41.08
Jammu & Kashmir, 28-02-2019, M, 13.30, 2366325.00, 38.95
Jammu & Kashmir, 31-03-2019, M, 13.73, 2582126.00, 42.62
Jammu & Kashmir, 30-04-2019, M, 8.73, 2828192.00, 44.04
Jammu & Kashmir, 31-05-2019, M, 12.78, 2495186.00, 40.57
Jammu & Kashmir, 30-06-2019, M, 12.09, 2423742.00, 39.02
Jammu & Kashmir, 31-07-2019, M, 13.67, 2549315.00, 41.71
Jammu & Kashmir, 31-08-2019, M, 11.32, 2778624.00, 44.17
Jammu & Kashmir, 30-09-2019, M, 20.19, 2244333.00, 39.56
Jammu & Kashmir, 31-10-2019, M, 19.27, 2477621.00, 43.08
Jammu & Kashmir, 30-11-2019, M, 14.73, 2415724.00, 39.69
Jammu & Kashmir, 31-01-2020, M, 22.19, 2373488.00, 42.56
Jammu & Kashmir, 29-02-2020, M, 21.23, 2163397.00, 38.25
Jammu & Kashmir, 31-03-2020, M, 16.00, 2361004.00, 39.06
Jammu & Kashmir, 31-05-2020, M, 20.87, 2309058.00, 40.39
Jammu & Kashmir, 30-06-2020, M, 18.97, 2049617.00, 34.94
Jammu & Kashmir, 31-07-2020, M, 12.16, 2455781.00, 38.54
Jammu & Kashmir, 31-08-2020, M, 9.86, 2398006.00, 36.60
Jammu & Kashmir, 30-09-2020, M, 16.67, 2276081.00, 37.50
Jammu & Kashmir, 31-10-2020, M, 18.99, 2103975.00, 35.59
Jammu & Kashmir, 30-11-2020, M, 6.19, 2061655.00, 30.05
Jammu & Kashmir, 31-01-2021, M, 20.35, 2250612.00, 38.48
Jammu & Kashmir, 28-02-2021, M, 13.41, 2016760.00, 31.66
Jammu & Kashmir, 31-03-2021, M, 9.33, 2097497.00, 31.38
Jammu & Kashmir, 30-04-2021, M, 10.53, 2700551.00, 40.86
Jammu & Kashmir, 31-05-2021, M, 9.05, 2367082.00, 35.16
Jammu & Kashmir, 30-06-2021, M, 6.67, 2264323.00, 32.71
Jammu & Kashmir, 31-07-2021, M, 14.98, 2295211.00, 36.32
Jharkhand, 31-01-2016, M, 13.02, 5758593.00, 37.37
Jharkhand, 29-02-2016, M, 9.83, 7053871.00, 44.06
Jharkhand, 31-03-2016, M, 6.52, 6651470.00, 39.98
Jharkhand, 30-04-2016, M, 5.44, 7966546.00, 47.23
Jharkhand, 31-05-2016, M, 10.91, 6013866.00, 37.76
Jharkhand, 30-06-2016, M, 5.09, 7251741.00, 42.64
Jharkhand, 31-07-2016, M, 1.85, 7150109.00, 40.56
Jharkhand, 31-08-2016, M, 7.49, 7692566.00, 46.19
Jharkhand, 30-09-2016, M, 4.46, 6937521.00, 40.25
Jharkhand, 31-10-2016, M, 3.44, 7299252.00, 41.80
Jharkhand, 30-11-2016, M, 0.72, 7298964.00, 40.56
Jharkhand, 31-12-2016, M, 0.77, 7863807.00, 43.62
Jharkhand, 31-01-2017, M, 3.31, 7038602.00, 39.98
Jharkhand, 28-02-2017, M, 2.38, 7285603.00, 40.90
Jharkhand, 31-03-2017, M, 0.00, 7138318.00, 39.03
Jharkhand, 30-04-2017, M, 0.35, 7572661.00, 41.46
Jharkhand, 31-05-2017, M, 1.75, 7130551.00, 39.50
Jharkhand, 30-06-2017, M, 3.67, 7415602.00, 41.81
Jharkhand, 31-07-2017, M, 0.51, 6793196.00, 37.00
Jharkhand, 31-08-2017, M, 1.18, 7312124.00, 40.00
Jharkhand, 30-09-2017, M, 8.20, 7091669.00, 41.67
Jharkhand, 31-10-2017, M, 7.36, 7312875.00, 42.48
Jharkhand, 30-11-2017, M, 5.70, 6838769.00, 38.94
Jharkhand, 31-12-2017, M, 6.19, 7207751.00, 41.16
Jharkhand, 31-01-2018, M, 4.76, 7183570.00, 40.31
Jharkhand, 28-02-2018, M, 5.99, 7328725.00, 41.57
Jharkhand, 31-03-2018, M, 6.19, 7004467.00, 39.73
Jharkhand, 30-04-2018, M, 8.90, 6921262.00, 40.33
Jharkhand, 31-05-2018, M, 7.45, 7141579.00, 40.87
Jharkhand, 30-06-2018, M, 7.93, 7239300.00, 41.55
Jharkhand, 31-07-2018, M, 9.20, 6963289.00, 40.43
Jharkhand, 31-08-2018, M, 7.96, 7005921.00, 40.04
Jharkhand, 30-09-2018, M, 5.88, 7149328.00, 39.87
Jharkhand, 31-10-2018, M, 7.32, 7405022.00, 41.84
Jharkhand, 30-11-2018, M, 8.55, 6951215.00, 39.71
Jharkhand, 31-12-2018, M, 9.78, 6970551.00, 40.27
Jharkhand, 31-01-2019, M, 6.20, 7056831.00, 39.13
Jharkhand, 28-02-2019, M, 5.45, 7483195.00, 41.08
Jharkhand, 31-03-2019, M, 11.88, 6879839.00, 40.43
Jharkhand, 30-04-2019, M, 10.71, 7220330.00, 41.77
Jharkhand, 31-05-2019, M, 7.11, 7035762.00, 39.04
Jharkhand, 30-06-2019, M, 8.46, 7319780.00, 41.12
Jharkhand, 31-07-2019, M, 9.98, 6958399.00, 39.66
Jharkhand, 31-08-2019, M, 12.06, 7015356.00, 40.83
Jharkhand, 30-09-2019, M, 6.38, 7673454.00, 41.86
Jharkhand, 31-10-2019, M, 6.57, 7761238.00, 42.33
Jharkhand, 30-11-2019, M, 8.07, 7279631.00, 40.26
Jharkhand, 31-12-2019, M, 15.15, 6873439.00, 41.09
Jharkhand, 31-01-2020, M, 6.16, 7868736.00, 42.43
Jharkhand, 29-02-2020, M, 9.06, 7932402.00, 44.05
Jharkhand, 31-03-2020, M, 5.01, 7157454.00, 37.96
Jharkhand, 30-04-2020, M, 41.72, 4280434.00, 36.92
Jharkhand, 31-05-2020, M, 55.10, 3315038.00, 37.03
Jharkhand, 30-06-2020, M, 21.53, 6375114.00, 40.65
Jharkhand, 31-07-2020, M, 8.36, 6907458.00, 37.63
Jharkhand, 31-08-2020, M, 6.35, 7093468.00, 37.72
Jharkhand, 30-09-2020, M, 7.79, 7640366.00, 41.18
Jharkhand, 31-10-2020, M, 11.32, 7999884.00, 44.73
Jharkhand, 30-11-2020, M, 8.17, 7201406.00, 38.79
Jharkhand, 31-12-2020, M, 9.86, 7359442.00, 40.30
Jharkhand, 31-01-2021, M, 8.53, 7634206.00, 41.10
Jharkhand, 28-02-2021, M, 10.82, 7921963.00, 43.65
Jharkhand, 31-03-2021, M, 12.77, 7227462.00, 40.62
Jharkhand, 30-04-2021, M, 14.13, 7295292.00, 41.56
Jharkhand, 31-05-2021, M, 12.04, 7157235.00, 39.71
Jharkhand, 30-06-2021, M, 9.91, 8483224.00, 45.85
Jharkhand, 31-07-2021, M, 8.46, 7743077.00, 41.09
Karnataka, 31-01-2016, M, 4.42, 14637441.00, 51.30
Karnataka, 29-02-2016, M, 4.85, 14583090.00, 51.27
Karnataka, 31-03-2016, M, 2.47, 14030453.00, 48.05
Karnataka, 30-04-2016, M, 2.76, 14253810.00, 48.88
Karnataka, 31-05-2016, M, 8.58, 14707637.00, 53.57
Karnataka, 30-06-2016, M, 2.62, 14859834.00, 50.73
Karnataka, 31-07-2016, M, 2.40, 15093524.00, 51.34
Karnataka, 31-08-2016, M, 2.03, 14453326.00, 48.90
Karnataka, 30-09-2016, M, 3.39, 16136233.00, 55.28
Karnataka, 31-10-2016, M, 4.43, 15537123.00, 53.72
Karnataka, 30-11-2016, M, 5.36, 14036958.00, 48.94
Karnataka, 31-12-2016, M, 3.51, 15783823.00, 53.88
Karnataka, 31-01-2017, M, 5.93, 15753216.00, 55.07
Karnataka, 28-02-2017, M, 3.87, 15467427.00, 52.84
Karnataka, 31-03-2017, M, 3.03, 13609914.00, 46.02
Karnataka, 30-04-2017, M, 0.60, 15843899.00, 52.19
Karnataka, 31-05-2017, M, 0.78, 15514006.00, 51.12
Karnataka, 30-06-2017, M, 0.94, 14571995.00, 48.02
Karnataka, 31-07-2017, M, 1.45, 13208069.00, 43.68
Karnataka, 31-08-2017, M, 0.17, 16513005.00, 53.82
Karnataka, 30-09-2017, M, 0.80, 14833779.00, 48.58
Karnataka, 31-10-2017, M, 0.38, 15705312.00, 51.14
Karnataka, 30-11-2017, M, 1.68, 14318608.00, 47.17
Karnataka, 31-12-2017, M, 2.29, 14103091.00, 46.68
Karnataka, 31-01-2018, M, 0.95, 15227837.00, 49.64
Karnataka, 28-02-2018, M, 2.41, 15009921.00, 49.59
Karnataka, 31-03-2018, M, 3.63, 13593222.00, 45.41
Karnataka, 30-04-2018, M, 0.98, 14314823.00, 46.47
Karnataka, 31-05-2018, M, 0.88, 14901557.00, 48.25
Karnataka, 30-06-2018, M, 2.01, 14816106.00, 48.45
Karnataka, 31-07-2018, M, 2.91, 12860192.00, 42.38
Karnataka, 31-08-2018, M, 0.60, 13843390.00, 44.49
Karnataka, 30-09-2018, M, 0.38, 14419564.00, 46.17
Karnataka, 31-10-2018, M, 1.65, 13943696.00, 45.15
Karnataka, 30-11-2018, M, 1.44, 12931767.00, 41.72
Karnataka, 31-12-2018, M, 0.65, 13040378.00, 41.67
Karnataka, 31-01-2019, M, 0.98, 14335721.00, 45.89
Karnataka, 28-02-2019, M, 1.78, 13551873.00, 43.67
Karnataka, 31-03-2019, M, 0.85, 11927951.00, 38.02
Karnataka, 30-04-2019, M, 0.24, 12715644.00, 40.22
Karnataka, 31-05-2019, M, 5.46, 13911444.00, 46.36
Karnataka, 30-06-2019, M, 5.98, 12888498.00, 43.12
Karnataka, 31-07-2019, M, 0.52, 12169803.00, 38.42
Karnataka, 31-08-2019, M, 0.37, 12686467.00, 39.93
Karnataka, 30-09-2019, M, 3.15, 13750519.00, 44.46
Karnataka, 31-10-2019, M, 7.13, 12803523.00, 43.10
Karnataka, 30-11-2019, M, 1.19, 11537212.00, 36.45
Karnataka, 31-12-2019, M, 0.41, 12756131.00, 39.92
Karnataka, 31-01-2020, M, 2.57, 13938874.00, 44.52
Karnataka, 29-02-2020, M, 4.11, 12753657.00, 41.33
Karnataka, 31-03-2020, M, 2.39, 12853818.00, 40.85
Karnataka, 30-04-2020, M, 33.17, 9330400.00, 43.25
Karnataka, 31-05-2020, M, 23.72, 10626328.00, 43.09
Karnataka, 30-06-2020, M, 10.92, 15396213.00, 53.37
Karnataka, 31-07-2020, M, 4.61, 13957482.00, 45.11
Karnataka, 31-08-2020, M, 0.00, 14448864.00, 44.48
Karnataka, 30-09-2020, M, 2.68, 11664790.00, 36.84
Karnataka, 31-10-2020, M, 1.11, 13722339.00, 42.59
Karnataka, 30-11-2020, M, 2.13, 13133425.00, 41.12
Karnataka, 31-12-2020, M, 1.12, 13478754.00, 41.71
Karnataka, 31-01-2021, M, 3.82, 13160475.00, 41.80
Karnataka, 28-02-2021, M, 2.53, 14028978.00, 43.91
Karnataka, 31-03-2021, M, 0.98, 13418162.00, 41.27
Karnataka, 30-04-2021, M, 1.94, 14396676.00, 44.65
Karnataka, 31-05-2021, M, 4.31, 14906310.00, 47.30
Karnataka, 30-06-2021, M, 2.83, 15137155.00, 47.23
Karnataka, 31-07-2021, M, 2.33, 13784191.00, 42.72
Kerala, 31-01-2016, M, 20.60, 5300277.00, 47.47
Kerala, 29-02-2016, M, 23.68, 5462975.00, 50.86
Kerala, 31-03-2016, M, 26.37, 5077492.00, 48.95
Kerala, 30-04-2016, M, 17.39, 5514386.00, 47.34
Kerala, 31-05-2016, M, 13.10, 5675443.00, 46.28
Kerala, 30-06-2016, M, 6.56, 5537808.00, 41.95
Kerala, 31-07-2016, M, 12.70, 5161522.00, 41.81
Kerala, 31-08-2016, M, 18.33, 5779460.00, 50.00
Kerala, 30-09-2016, M, 5.52, 5593516.00, 41.79
Kerala, 31-10-2016, M, 1.21, 5741752.00, 40.99
Kerala, 30-11-2016, M, 17.40, 4842570.00, 41.31
Kerala, 31-12-2016, M, 20.92, 5677441.00, 50.54
Kerala, 31-01-2017, M, 12.27, 5589822.00, 44.81
Kerala, 28-02-2017, M, 7.67, 5489803.00, 41.78
Kerala, 31-03-2017, M, 11.64, 5006907.00, 39.78
Kerala, 30-04-2017, M, 4.05, 5612425.00, 41.03
Kerala, 31-05-2017, M, 10.23, 5074510.00, 39.61
Kerala, 30-06-2017, M, 4.76, 5265340.00, 38.71
Kerala, 31-07-2017, M, 8.52, 4912673.00, 37.57
Kerala, 31-08-2017, M, 4.41, 5648257.00, 41.30
Kerala, 30-09-2017, M, 5.54, 5029347.00, 37.17
Kerala, 31-10-2017, M, 11.60, 5465402.00, 43.13
Kerala, 30-11-2017, M, 11.52, 5253238.00, 41.38
Kerala, 31-12-2017, M, 13.42, 5048010.00, 40.60
Kerala, 31-01-2018, M, 6.56, 5041669.00, 37.54
Kerala, 28-02-2018, M, 7.42, 5522167.00, 41.46
Kerala, 31-03-2018, M, 11.21, 5069678.00, 39.65
Kerala, 30-04-2018, M, 5.91, 5061784.00, 37.32
Kerala, 31-05-2018, M, 4.97, 5195194.00, 37.89
Kerala, 30-06-2018, M, 8.99, 5543620.00, 42.18
Kerala, 31-07-2018, M, 8.38, 5003177.00, 37.78
Kerala, 30-09-2018, M, 3.68, 5269194.00, 37.78
Kerala, 31-10-2018, M, 8.28, 5380921.00, 40.48
Kerala, 30-11-2018, M, 6.80, 5050544.00, 37.35
Kerala, 31-12-2018, M, 9.31, 4921237.00, 37.37
Kerala, 31-01-2019, M, 6.84, 5222669.00, 38.57
Kerala, 28-02-2019, M, 8.63, 5449506.00, 41.00
Kerala, 31-03-2019, M, 6.47, 4834731.00, 35.50
Kerala, 30-04-2019, M, 9.97, 5119786.00, 39.02
Kerala, 31-05-2019, M, 6.63, 5184353.00, 38.07
Kerala, 30-06-2019, M, 9.00, 5605625.00, 42.19
Kerala, 31-07-2019, M, 4.95, 4855392.00, 34.96
Kerala, 31-08-2019, M, 10.32, 5233449.00, 39.90
Kerala, 30-09-2019, M, 5.35, 5400501.00, 38.97
Kerala, 31-10-2019, M, 9.14, 5328825.00, 40.02
Kerala, 30-11-2019, M, 5.00, 4557907.00, 32.71
Kerala, 31-12-2019, M, 10.77, 5065808.00, 38.67
Kerala, 31-01-2020, M, 4.11, 5307026.00, 37.66
Kerala, 29-02-2020, M, 8.91, 5203579.00, 38.84
Kerala, 31-03-2020, M, 8.85, 4141953.00, 30.87
Kerala, 30-04-2020, M, 10.71, 1754170.00, 13.33
Kerala, 31-05-2020, M, 15.00, 4590028.00, 36.61
Kerala, 30-06-2020, M, 10.31, 4945465.00, 37.35
Kerala, 31-07-2020, M, 9.38, 5178313.00, 38.67
Kerala, 31-08-2020, M, 14.89, 4849146.00, 38.52
Kerala, 30-09-2020, M, 6.61, 5089965.00, 36.82
Kerala, 31-10-2020, M, 3.59, 4918738.00, 34.43
Kerala, 30-11-2020, M, 6.85, 4676120.00, 33.85
Kerala, 31-12-2020, M, 6.39, 4988245.00, 35.90
Kerala, 31-01-2021, M, 5.40, 5128313.00, 36.48
Kerala, 28-02-2021, M, 4.43, 4966612.00, 34.95
Kerala, 31-03-2021, M, 6.63, 4889337.00, 35.18
Kerala, 30-04-2021, M, 8.50, 5080147.00, 37.27
Kerala, 31-05-2021, M, 21.82, 4110493.00, 35.26
Kerala, 30-06-2021, M, 12.98, 3920661.00, 30.18
Kerala, 31-07-2021, M, 8.40, 4585176.00, 33.50
